Template,Reason,Postponement,Peepl
"Так получилось, что наша команда (SENDER) заболела полным составом. Подскажите, пожалуйста, у нас будет возможность сдать доклад на следующей неделе (DATE)?",health,deadline,sg
"Я обращаюсь к Вам с просьбой о переносе дедлайна домашнего задания. Сегодня у меня назначен поход к стоматологу, который я не могу отложить. Из-за этого я не смогу выполнить задание вовремя.
Хотелось бы попросить Вас перенести дедлайн на 8 декабря, чтобы у меня было достаточно времени для выполнения задания после похода к стоматологу. Я очень ценю Ваше понимание и готовность помочь. Буду благодарен за возможность перенести дедлайн.

",health,deadline,sg
"Обращаюсь к Вам с просьбой о переносе дедлайна по заданию. Сегодня у меня высокая температура, из-за этого я не смогу выполнить задание вовремя.
Хотелось бы попросить Вас перенести дедлайн на 8 декабря, чтобы у меня было достаточно времени для выполнения задания после выздоровления. Я очень надеюсь на Ваше понимание.",health,deadline,sg
"Хочу обратиться к Вам с просьбой перенести дедлайн домашнего задания. К сожалению, я получил серьезный перелом спины и сейчас нахожусь в больнице. Из-за этого я не смогу выполнить задание вовремя. Буду благодарен за возможность перенести срок сдачи задания.",health,deadline,sg
"Я обращаюсь к Вам с просьбой сдать домашнее задание  по Вашему предмету на день позже. В данный момент у меня накопилось много других заданий, и я не смогу выполнить работу вовремя.
Хотелось бы попросить Вас перенести дедлайн, чтобы у меня было достаточно времени для качественного выполнения Вашего задания.
",workload,deadline,sg
"Возможно ли сдать Вам домашнее задание немного позже установленного срока сдачи? Дело в том, что у меня в один день установлено несколько дедлайнов, и я не успеваю качественно выполнить Ваше задание. Я очень ценю Ваше понимание и готовность помочь. Буду благодарен за возможность перенести дедлайн.",workload,deadline,sg
"Есть ли возможность перенести  дедлайна последней домашней работы? Понимаю, что на выполнение этой работы было достаточно времени, но дело в том, что из-за большого количенства дедлайнов по другим предметам, я не успеваю вовремя сдать работу по Вашему предмету. Буду очень благодарна за понимание!",workload,deadline,sg
"Хотел бы обратиться к Вам с следующей просьбой. Дело в том, что на данный момент я столкнулся с большим количеством других учебных задач, которые требуют моего внимания и времени. Это создает для меня некоторые сложности, и я опасаюсь не успеть выполнить домашнее задание к установленному сроку.
Поэтому я хотел бы попросить Вас о возможности переноса дедлайна на более позднюю дату.  Я был бы Вам очень благодарен!",workload,deadline,sg
"Есть ли у Вас возможность перенести работу по CLASS на DATE? К сожалению, друг на друга накладывается сразу несколько работ и мы думаем, что день-два помогут качественно и осмысленно сделать работы по Вашему блоку. Искренне надеемся на Ваше понимание!",workload,deadline,pl
"Мы бы хотели хотели обратиться к Вам с просьбой о переносе дедлайна последней домашней работы. Мы понимаем, что на выполнение данной работы у нас был целый месяц, однако, к сожалению, из-за сессии и обилия других дедлайнов мы не успеваем качественно доделать домашнюю работу в срок. Не могли бы вы, пожалуйста, продлить дедлайн выполнения до DATE? Мы были бы Вам безмерно благодарны!",workload,deadline,pl
"Мы понимаем одиозность, абсурдность, неудобоваримость нашей просьбы, но...
Мы бы хотели попросить вас перенести дедлайн по заданию по CLASS на один день. Мы понимаем, что у нас и так было много времени на выполнение этого задания (действительно очень много!), однако в силу большой загруженности из-за курсовых работ и огромного количества дедлайнов (их невообразимо почему-то много нынче стало) мы не смогли уделить ему достаточно времени, а мы бы очень хотели сделать подробный качественный хороший анализ.
Мы поймем, если Вы откажете, но всегда надеемся на лучший исход!",workload,deadline,pl
"Есть ли возможность продлить дедлайн квиза на два дня? То есть дедлайн отправки DATE? Многим это очень бы помогло с другими дедлайнами, поставленными на пятницу и субботу.",workload,deadline,pl
"Я обращаюсь к Вам с просьбой о переносе срока выполнения моей домашней работы. Хотел бы пояснить причины своей просьбы. Дело в том, что данное задание оказалось для меня сложнее, чем я ожидал. Мне потребовалось больше времени на его выполнение, чем изначально планировалось. В связи с этим, я прошу вас предоставить мне дополнительное время для завершения работы. Буду благодарен за понимание.",difficulty_problem,deadline,sg
"Есть ли возможность продлить дедлайн по домашнему заданию? Я понимаю, что своевременность выполнения заданий является важным аспектом учебного процесса. Однако, из-за сложности данного задания мне необходимо дополнительное время для успешного выполнения работы.",difficulty_problem,deadline,sg
